"","X","ID","Timepoint","Age_days","Age_weeks","Intervention","Diet","Treatment","Genotype","TreatmentGroup","Cage","Sex","resampled_log_full_det","resampled_log_nlin_det","dependentvariable"
"160",160,"4_005",2,119,17,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_005_processed/mch_rca124_005_20180905_165643_131073_mri_lsq6/mch_rca124_005_20180905_165643_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_005_processed/mch_rca124_005_20180905_165643_131073_mri_lsq6/mch_rca124_005_20180905_165643_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.09050825089406
"161",161,"4_005",3,182,26,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_005_processed/mch_rca_134_005_20181107_104019_131073_mri_lsq6/mch_rca_134_005_20181107_104019_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_005_processed/mch_rca_134_005_20181107_104019_131073_mri_lsq6/mch_rca_134_005_20181107_104019_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.02498731479677
"162",162,"4_006",1,57,8.14285714285714,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_006_processed/mch_rca_114_006_20180705_163832_131073_mri_lsq6/mch_rca_114_006_20180705_163832_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_006_processed/mch_rca_114_006_20180705_163832_131073_mri_lsq6/mch_rca_114_006_20180705_163832_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.91484843250655
"163",163,"4_006",2,119,17,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",113,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_006_processed/mch_rca_124_006_20180905_173057_131073_mri_lsq6/mch_rca_124_006_20180905_173057_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_006_processed/mch_rca_124_006_20180905_173057_131073_mri_lsq6/mch_rca_124_006_20180905_173057_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.943415541110321
"164",164,"4_007",1,57,8.14285714285714,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_007_processed/mch_rca_114_007_20180719_123901_131073_mri_lsq6/mch_rca_114_007_20180719_123901_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_007_processed/mch_rca_114_007_20180719_123901_131073_mri_lsq6/mch_rca_114_007_20180719_123901_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.977386731620495
"165",165,"4_007",2,105,15,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_007_processed/mch_rca_124_007_20180905_143441_131073_mri_lsq6/mch_rca_124_007_20180905_143441_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_007_processed/mch_rca_124_007_20180905_143441_131073_mri_lsq6/mch_rca_124_007_20180905_143441_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.03860075765484
"166",166,"4_008",1,57,8.14285714285714,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_008_processed/mch_rca_114_008_20180719_130008_131073_mri_lsq6/mch_rca_114_008_20180719_130008_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_008_processed/mch_rca_114_008_20180719_130008_131073_mri_lsq6/mch_rca_114_008_20180719_130008_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.12927198280686
"167",167,"4_008",2,105,15,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_008_processed/mch_rca_124_008_20180905_145626_131073_mri_lsq6/mch_rca_124_008_20180905_145626_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_008_processed/mch_rca_124_008_20180905_145626_131073_mri_lsq6/mch_rca_124_008_20180905_145626_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.850613254366721
"168",168,"4_009",1,57,8.14285714285714,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_009_processed/mch_rca_114_009_20180719_132046_131073_mri_lsq6/mch_rca_114_009_20180719_132046_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_009_processed/mch_rca_114_009_20180719_132046_131073_mri_lsq6/mch_rca_114_009_20180719_132046_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.976197211289031
"169",169,"4_009",2,105,15,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_009_processed/mch_rca_124_009_20180905_150827_131073_mri_lsq6/mch_rca_124_009_20180905_150827_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_009_processed/mch_rca_124_009_20180905_150827_131073_mri_lsq6/mch_rca_124_009_20180905_150827_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.996528413536538
"170",170,"4_009",3,167,23.8571428571429,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",117,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_009_processed/mch_rca_134_009_20181107_115746_131073_mri_lsq6/mch_rca_134_009_20181107_115746_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_009_processed/mch_rca_134_009_20181107_115746_131073_mri_lsq6/mch_rca_134_009_20181107_115746_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.01207787507835
"171",171,"4_010",1,66,9.42857142857143,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",124,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_010_processed/mch_rca_214_010_20180919_145344_131073_mri_lsq6/mch_rca_214_010_20180919_145344_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_010_processed/mch_rca_214_010_20180919_145344_131073_mri_lsq6/mch_rca_214_010_20180919_145344_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.00342895632581
"172",172,"4_010",2,118,16.8571428571429,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",124,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_010_processed/mch_rca_224_010_20181110_115214_131073_mri_lsq6/mch_rca_224_010_20181110_115214_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_010_processed/mch_rca_224_010_20181110_115214_131073_mri_lsq6/mch_rca_224_010_20181110_115214_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.11869340508082
"173",173,"4_010",3,194,27.7142857142857,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",124,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_010_processed/mch_rca_234_010_20190124_180100_131073_mri_lsq6/mch_rca_234_010_20190124_180100_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_010_processed/mch_rca_234_010_20190124_180100_131073_mri_lsq6/mch_rca_234_010_20190124_180100_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.893565625377303
"174",174,"4_011",1,66,9.42857142857143,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",124,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_011_processed/mch_rca_214_011_20180919_151325_131073_mri_lsq6/mch_rca_214_011_20180919_151325_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_011_processed/mch_rca_214_011_20180919_151325_131073_mri_lsq6/mch_rca_214_011_20180919_151325_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.858017300436495
"175",175,"4_011",2,118,16.8571428571429,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",124,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_011_processed/mch_rca_224_011_20181110_120919_131073_mri_lsq6/mch_rca_224_011_20181110_120919_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_011_processed/mch_rca_224_011_20181110_120919_131073_mri_lsq6/mch_rca_224_011_20181110_120919_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.15599048306734
"176",176,"4_012",1,66,9.42857142857143,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",124,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_012_processed/mch_rca_214_012_20180919_152344_131073_mri_lsq6/mch_rca_214_012_20180919_152344_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_012_processed/mch_rca_214_012_20180919_152344_131073_mri_lsq6/mch_rca_214_012_20180919_152344_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.00449082313568
"177",177,"4_012",2,118,16.8571428571429,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",124,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_012_processed/mch_rca_224_012_20181110_122633_131073_mri_lsq6/mch_rca_224_012_20181110_122633_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_012_processed/mch_rca_224_012_20181110_122633_131073_mri_lsq6/mch_rca_224_012_20181110_122633_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.952540259780855
"178",178,"4_012",3,194,27.7142857142857,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",124,"F","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_012_processed/mch_rca_234_012_20190124_185221_131073_mri_lsq6/mch_rca_234_012_20190124_185221_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_012_processed/mch_rca_234_012_20190124_185221_131073_mri_lsq6/mch_rca_234_012_20190124_185221_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.875779822155071
"179",179,"4_013",1,63,9,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",136,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_013_processed/mch_rca_114_013_20180927_113821_131073_mri_lsq6/mch_rca_114_013_20180927_113821_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_013_processed/mch_rca_114_013_20180927_113821_131073_mri_lsq6/mch_rca_114_013_20180927_113821_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.10642522662026
"180",180,"4_013",2,118,16.8571428571429,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",136,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_013_processed/mch_rca_124_013_20181121_114708_131073_mri_lsq6/mch_rca_124_013_20181121_114708_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_013_processed/mch_rca_124_013_20181121_114708_131073_mri_lsq6/mch_rca_124_013_20181121_114708_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.883610091227333
"181",181,"4_013",3,184,26.2857142857143,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",136,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_013_processed/mch_rca_134_013_20190125_230403_131073_mri_lsq6/mch_rca_134_013_20190125_230403_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_013_processed/mch_rca_134_013_20190125_230403_131073_mri_lsq6/mch_rca_134_013_20190125_230403_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.920310089267088
"182",182,"4_014",1,63,9,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",136,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_014_processed/mch_rca_114_014_20180927_115156_131073_mri_lsq6/mch_rca_114_014_20180927_115156_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_014_processed/mch_rca_114_014_20180927_115156_131073_mri_lsq6/mch_rca_114_014_20180927_115156_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.996568840574846
"183",183,"4_014",2,118,16.8571428571429,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",136,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_014_processed/mch_rca_124_014_20181121_120023_131073_mri_lsq6/mch_rca_124_014_20181121_120023_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_014_processed/mch_rca_124_014_20181121_120023_131073_mri_lsq6/mch_rca_124_014_20181121_120023_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.932668911318874
"184",184,"4_014",3,184,26.2857142857143,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",136,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_014_processed/mch_rca_134_014_20190125_232359_131073_mri_lsq6/mch_rca_134_014_20190125_232359_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_014_processed/mch_rca_134_014_20190125_232359_131073_mri_lsq6/mch_rca_134_014_20190125_232359_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.00251131400472
"185",185,"4_015",1,63,9,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",136,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_015_processed/mch_rca_114_015_20180927_121348_131073_mri_lsq6/mch_rca_114_015_20180927_121348_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_015_processed/mch_rca_114_015_20180927_121348_131073_mri_lsq6/mch_rca_114_015_20180927_121348_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.04256696850694
"186",186,"4_015",3,184,26.2857142857143,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",136,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_015_processed/mch_rca_134_015_20190125_234321_131073_mri_lsq6/mch_rca_134_015_20190125_234321_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_015_processed/mch_rca_134_015_20190125_234321_131073_mri_lsq6/mch_rca_134_015_20190125_234321_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.834776824029973
"187",187,"4_016",1,63,9,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",136,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_016_processed/mch_rca_114_016_20180927_123233_131073_mri_lsq6/mch_rca_114_016_20180927_123233_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_016_processed/mch_rca_114_016_20180927_123233_131073_mri_lsq6/mch_rca_114_016_20180927_123233_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",0.939418816765784
"188",188,"4_016",2,118,16.8571428571429,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",136,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_016_processed/mch_rca_124_016_20181121_123650_131073_mri_lsq6/mch_rca_124_016_20181121_123650_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_016_processed/mch_rca_124_016_20181121_123650_131073_mri_lsq6/mch_rca_124_016_20181121_123650_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.00275862133958
"189",189,"4_016",3,184,26.2857142857143,"HighFat","HighFat","HighFat","3Tg","HFD_Tg",136,"M","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_016_processed/mch_rca_134_016_20190126_000350_131073_mri_lsq6/mch_rca_134_016_20190126_000350_131073_mri_lsq6_I_lsq6_lsq12_and_nlin_inverted_displ_log_det_abs_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc","/data/chamal/projects/chloe/2017_lifestyle/Chloe/3_derivatives/scan/Pydpiper/RCA_25August2019_first_level/4_016_processed/mch_rca_134_016_20190126_000350_131073_mri_lsq6/mch_rca_134_016_20190126_000350_131073_mri_lsq6_I_lsq6_lsq12_and_nlin__concat_inverted_linear_part_displ_log_det_rel_fwhm0.2_res_to_RCA_25August2019_second_level-nlin-3.mnc",1.00819353935689
